"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-2366.30630745368,0,0,0,-2366.30630745368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4732.61261490737,0,0,0,0,0
0,0,0,-2361.31737782092,0,0,0,-2361.31737782092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4722.63475564183,0,0,0,0
-4.76076768370439,0,0,0,-6.76076768370439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5215353674088,0,0,0,0,0,0,0
0,-4.75591100297615,0,0,0,-6.75591100297615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5118220059523,0,0,0,0,0,0
0,0,0,0,0,0,-2486.17612403793,0,0,0,-2486.17612403793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4972.35224807586,0
0,0,0,0,0,0,0,-2484.15140529545,0,0,0,-2484.15140529545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4968.3028105909
0,0,0,0,-2619.40469613841,0,0,0,-2619.40469613841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5238.80939227682,0,0,0
0,0,0,0,0,-2613.52658266052,0,0,0,-2613.52658266052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5227.05316532104,0,0
0,0,0,0,0,0,0,0,-0.5,-0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-0.5,-0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-1,0.956045424369195,0,0,0,0,0,0,0,0.0439545756308049,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.957337275289846,0,0,0,0,0,0,0,0.0426627247101543,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.960518783896872,0,0,0,0,0,0,0,0.0394812161031283,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.956834968897793,0,0,0,0,0,0,0,0.0431650311022074,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.957929499391389,0,0,0,0,0,0,0,0.0420705006086114,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.959628916856117,0,0,0,0,0,0,0,0.0403710831438832
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.491673375314649,0,0,0,0.491673375314649,0,0,0,0,0,0,0,0.0166532493707029,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
0,0.491899095371472,0,0,0,0.491899095371472,0,0,0,0,0,0,0,0.0162018092570566,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
0,0,0.491389364635774,0,0,0,0.491389364635774,0,0,0,0,0,0,0,0.0172212707284527,0,0,0,0,0,0,0,-1,0,0,0,0,0
0,0,0,0.491541246237525,0,0,0,0.491541246237525,0,0,0,0,0,0,0,0.0169175075249503,0,0,0,0,0,0,0,-1,0,0,0,0
0,0,0,0,0.491509137221136,0,0,0,0.491509137221136,0,0,0,0,0,0,0,0.0169817255577289,0,0,0,0,0,0,0,-1,0,0,0
0,0,0,0,0,0.491695543264102,0,0,0,0.491695543264102,0,0,0,0,0,0,0,0.0166089134717965,0,0,0,0,0,0,0,-1,0,0
0,0,0,0,0,0,0.491617104420846,0,0,0,0.491617104420846,0,0,0,0,0,0,0,0.0167657911583074,0,0,0,0,0,0,0,-1,0
0,0,0,0,0,0,0,0.491798009403352,0,0,0,0.491798009403352,0,0,0,0,0,0,0,0.016403981193296,0,0,0,0,0,0,0,-1
